"source_group","dataset","dataset_md5","n","p","metric","seed","query_n","query_sampling","reference_k","reference_backend_used","cpu_audit_n","cpu_audit_mean_recall","cpu_audit_min_recall","cpu_audit_max_distance_error","cpu_audit_pass","faissR_version","faissR_package_commit","faissR_image_commit","record_source"
"real","USPS","aaccc5d9ba97f10b4f1bca66d806b132",11000,256,"cosine",20260807,1024,"unique_without_replacement",100,"cuda_native_exact_gpu",64,0.998125,0.99,7.74860382080078e-07,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_cosine_1188333_20260807_042306/faissR_cuda_exact_reference_results.csv"
"real","USPS","aaccc5d9ba97f10b4f1bca66d806b132",11000,256,"correlation",4,1024,"unique_without_replacement",100,"cuda_native_exact_gpu",64,0.99734375,0.99,3.03983688354492e-06,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_correlation_1188332_20260807_041220/faissR_cuda_exact_reference_results.csv"
"real","USPS","aaccc5d9ba97f10b4f1bca66d806b132",11000,256,"correlation",20260706,1024,"unique_without_replacement",100,"cuda_native_exact_gpu",64,0.99796875,0.99,2.32458114624023e-06,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_correlation_1188332_20260807_041220/faissR_cuda_exact_reference_results.csv"
"real","USPS","aaccc5d9ba97f10b4f1bca66d806b132",11000,256,"correlation",20260807,1024,"unique_without_replacement",100,"cuda_native_exact_gpu",64,0.99828125,0.99,2.89082527160645e-06,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_correlation_1188332_20260807_041220/faissR_cuda_exact_reference_results.csv"
"real","flow18","312918a562406500ae8ac89bd1e53b77",1000021,11,"euclidean",4,1024,"unique_without_replacement",100,"faiss_gpu_bfknn_l2",64,1,1,2.78028941965713e-05,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_euclidean_1188334_20260807_043321/faissR_cuda_exact_reference_results.csv"
"real","flow18","312918a562406500ae8ac89bd1e53b77",1000021,11,"euclidean",20260706,1024,"unique_without_replacement",100,"faiss_gpu_bfknn_l2",64,1,1,3.03252610659444e-05,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_euclidean_1188334_20260807_043321/faissR_cuda_exact_reference_results.csv"
"real","flow18","312918a562406500ae8ac89bd1e53b77",1000021,11,"euclidean",20260807,1024,"unique_without_replacement",100,"faiss_gpu_bfknn_l2",64,1,1,2.60963466829911e-05,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_euclidean_1188334_20260807_043321/faissR_cuda_exact_reference_results.csv"
"real","flow18","312918a562406500ae8ac89bd1e53b77",1000021,11,"cosine",4,1024,"unique_without_replacement",100,"cuda_native_exact_gpu",64,1,1,2.34693288803101e-07,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_cosine_1188333_20260807_042306/faissR_cuda_exact_reference_results.csv"
"real","flow18","312918a562406500ae8ac89bd1e53b77",1000021,11,"cosine",20260706,1024,"unique_without_replacement",100,"cuda_native_exact_gpu",64,1,1,2.17463821172714e-07,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_cosine_1188333_20260807_042306/faissR_cuda_exact_reference_results.csv"
"real","flow18","312918a562406500ae8ac89bd1e53b77",1000021,11,"cosine",20260807,1024,"unique_without_replacement",100,"cuda_native_exact_gpu",64,1,1,2.49361619353294e-07,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_cosine_1188333_20260807_042306/faissR_cuda_exact_reference_results.csv"
"real","flow18","312918a562406500ae8ac89bd1e53b77",1000021,11,"correlation",4,1024,"unique_without_replacement",100,"cuda_native_exact_gpu",64,1,1,2.00700014829636e-07,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_correlation_1188332_20260807_041220/faissR_cuda_exact_reference_results.csv"
"real","flow18","312918a562406500ae8ac89bd1e53b77",1000021,11,"correlation",20260706,1024,"unique_without_replacement",100,"cuda_native_exact_gpu",64,1,1,2.13272869586945e-07,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_correlation_1188332_20260807_041220/faissR_cuda_exact_reference_results.csv"
"real","flow18","312918a562406500ae8ac89bd1e53b77",1000021,11,"correlation",20260807,1024,"unique_without_replacement",100,"cuda_native_exact_gpu",64,1,1,2.4726614356041e-07,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_correlation_1188332_20260807_041220/faissR_cuda_exact_reference_results.csv"
